INTERIORES;DETAIL/ARQUITECTURA;0;289,3
HISTORIA DE LA ARQUITECTURA;CEAC;0;129,8
REFRIGERACION  (ENCICLOPEDIA DE LA CLIMATIZACION);RAMIREZ, JUAN ANTONIO;0;251,9
AIRE ACONDICIONADO (ENCICLOPEDIA DE LA CLIMATIZACI;MIRANDA, ANGEL LUIS;0;282,7
CONOCIMIENTOS FUNDAMENTALES SOBRE CLIMATIZACION;BLESA, RAMON;0;145,2
SISTEMAS DE IRRIGACION;DUCROCQ, MICHEL;0;83,6
CARPINTERIA CREATIVA;WEARING, ROBERT;0;221,1
ESTABLOS PARA BOVINOS;DUCROCQ, MICHEL;0;106,7
ESCALERAS DE MADERA;MANNES WILLIBALD;0;427
COMETAS;CEAC;0;57
MOVILES DE PAPEL;CEAC;0;57
TARJETAS DE FELICITACION;CEAC;0;57
PINTURA SOBRE SEDA TARJETAS Y CUADROS MINIATURA;CEAC;0;57
LAPICES PARA DIBUJO LOS;CEAC;0;55
ROTULADORES LOS;CEAC;0;55
PINTURA A LA TEMPERA LA;CEAC;0;55
PREPARACION DE SOPORTES PARA PINTURA AL OLEO;CEAC;0;55
PAPELES PARA ACUARELA Y DIBUJO;CEAC;0;55
LAPICES DE COLOR LOS;CEAC;0;55
PINCELES LOS;CEAC;0;55
PINTANDO A LA ACUARELA;COMAMALA JUAN;0;154
150 JUEGOS Y ACTIVIDADES PREESCOLARES;SPENCER ZANE;0;119
JUEGOS CON NIÑOS;HAGSTROM JULIE;0;45
JUEGOS PREVIOS A LA LECTOESCRITURA;BAQUES MARIAM;0;174
ACTIVIDADES PSICOMOTRICES EN LA EDUCACION INFANTIL;CORAL JOSEP;0;111
ALTA FRIVOLIDAD;MARGO SU;27;72,6
ARRANCAME LA VIDA;MASTRETTA, ANGELES;32;77
BIOGRAFIA DE UN JOVEN DE LA CLASE MEDIA;CAREAGA, GABRIEL;25;72,6
CIA EN MEXICO;BUENDIA, MANUEL;0;0
CIEN PREGUNTAS Y RESP. EN TORNO  A LA ECONOMIA MEX;SILVESTRE MENDEZ J.;0;0
CIENCIA LA CALLE Y OTRAS MENTIRAS LA;GONZALES, LUIS;22;72,6
CINE ES MEJOR QUE LA VIDA EL;RIERA, EMILIO;25;72,6
DESPUES DEL MILAGRO;AGUILAR CAMIN, HECTOR;0;85,8
DICCIONARIO DE ECONOMIA;ZORRILLA;0;0
ENSAYO DE UN CRIMEN;USIGLI R.;25;72,6
GAZAPO;SAINZ G.;0;0
HERMANA SECRETA DE ANGELICA MARIA LA;ZAPATA L.;22;72,6
HORA INTIMA DE AGUSTIN LARA LA;AURA, ALEJANDRO;22;63,8
INTRODUCCION A LA METODOLOGIA DE LA INVESTIGACION;ZORRILLA S.;0;77
MITOS Y FANTASIAS DE LA CLASE MEDIA EN MEXICO;CAREAGA, GABRIEL;0;72,6
MORIR EN EL GOLFO;AGUILAR CAMIN, HECTOR;30;77
MUJERES DE OJOS GRANDES;MASTRETTA, ANGELES;32;77
NIÑAS BIEN LAS;LOAEZA, GUADALUPE;0;71,5
PRIMERO LAS DAMAS;LOAEZA, GUADALUPE;0;72,6
REINAS DE POLANCO LAS;LOAEZA, GUADALUPE;0;71,5
SOBRE LA DEMOCRACIA;PEREIRA C.;30;52,8
SOMBRA DE LA REVOLUCION MEXICANA A LA;AGUILAR H.;0;79,2
VIVIR Y BEBER;HIRIART, HUGO;0;59,4
GUERRA DE GALIO LA;AGUILAR CAMIN, HECTOR;59;104,5
NOCHE DE RONDA;ISAAC, A.;0;44
ANCLAJES;REYES, FEDERICO;0;0
ARRIBA LOS DE ABAJO;GILLY, ADOLFO;0;0
INTRODUCCION A LA SOCIOLOGIA DE MAX WEBER;SANCHEZ AZCONA;0;0
PODER AL PUEBLO. EL;GONZALEZ, PABLO;0;0
SI TE AGARRAN TE VAN A MATAR;CASTILLO, HEBERTO;0;0
SEGUNDA MUERTE DE LA REVOLUCION MEXICANA;MELLER, LORENZO;52;86,9
MAS ALLA DE ZAPATA;GORDILLO, GUSTAVO;47;58,3
A LA VOZ DEL REY;;20;37,4
MEMORIAS DE APARIENCIAS;TOVAR, JUAN;20;25,3
RESURRECCION DE LA SANTA MARIA LA;HUACUJA;20;51,7
DESAFIO MEXICANO EL;OCEANO;12,7;13,97
MEXICO ENTRE LAS NACIONES;FLORES OLEA, VICTOR;20;25,3
NUEVO ARTE DE AMAR;BELLINGHAUSEN;30;64,9
